label,message,msg_new
0,商业秘密的秘密性那是维系其商业价值和垄断地位的前提条件之一,商业秘密 的 秘密性 那 是 维系 其 商业价值 和 垄断 地位 的 前提条件 之一
1,南口阿玛施新春第一批限量春装到店啦         春暖花开淑女裙、冰蓝色公主衫   气质粉小西装、冰丝女王长半裙、   皇,南口 阿玛施 新春 第一批 限量 春装 到 店 啦                      春暖花开 淑女 裙 、 冰 蓝色 公主 衫        气质 粉小 西装 、 冰丝 女王 长半裙 、        皇
0,带给我们大常州一场壮观的视觉盛宴,带给 我们 大 常州 一场 壮观 的 视觉 盛宴
0,有原因不明的泌尿系统结石等,有 原因 不明 的 泌尿系统 结石 等
0,23年从盐城拉回来的麻麻的嫁妆,23 年 从 盐城 拉回来 的 麻麻 的 嫁妆
0,感到自减肥、跳减肥健美操、,感到 自 减肥 、 跳 减肥 健美操 、
1,感谢致电杭州萧山全金釜韩国烧烤店，本店位于金城路xxx号。韩式烧烤等，价格实惠、欢迎惠顾【全金釜韩国烧烤店】,感谢 致电 杭州 萧山 全金 釜 韩国 烧烤店 ， 本店 位于 金城 路 xxx 号 。 韩式 烧烤 等 ， 价格 实惠 、 欢迎惠顾 【 全金 釜 韩国 烧烤店 】
0,这款UVe智能杀菌机器人是扫地机的最佳伴侣,这款 UVe 智能 杀菌 机器人 是 扫地机 的 最佳 伴侣
1,一次价值xxx元王牌项目；可充值xxx元店内项目卡一张；可以参与V动好生活百分百抽奖机会一次！预约电话：xxxxxxxxxxx,一次 价值 xxx 元 王牌 项目 ； 可 充值 xxx 元店 内 项目 卡 一张 ； 可以 参与 V 动好 生活 百分百 抽奖 机会 一次 ！ 预约 电话 ： xxxxxxxxxxx
0,此类皮肤特别容易招惹粉刺、黑头等,此类 皮肤 特别 容易 招惹 粉刺 、 黑头 等
0,乌兰察布丰镇市法院成立爱心救助基金,乌兰察布 丰镇市 法院 成立 爱心 救助 基金
1,(长期诚信在本市作各类资格职称（以及印 /章、牌、 ……等。祥：x x x x x x x x x x x 李伟%,( 长期 诚信 在 本市 作 各类 资格 职称 （ 以及 印   / 章 、 牌 、   … … 等 。 祥 ： x   x   x   x   x   x   x   x   x   x   x   李伟 %
1,《依林美容》三．八．女人节倾情大放送活动开始啦！！！！超值套餐等你拿，活动时间x月x日一x月xx日，     详情进店咨询。美丽热线x,《 依林 美容 》 三 ． 八 ． 女人 节 倾情 大放送 活动 开始 啦 ！ ！ ！ ！ 超值 套餐 等你拿 ， 活动 时间 x 月 x 日 一 x 月 xx 日 ，           详情 进店 咨询 。 美丽 热线 x
0,品牌墙/文化墙设计参考,品牌 墙 / 文化 墙 设计 参考
0,苏州和无锡两地警方成功破获了一起劫持女车主的案件,苏州 和 无锡 两地 警方 成功 破获 了 一起 劫持 女 车主 的 案件
0,自然之友苏州小组今日下午按原计划举办小组读书活动暨“我为城市量体温”启动仪式,自然 之友 苏州 小组 今日 下午 按原 计划 举办 小组 读书 活动 暨 “ 我 为 城市 量体温 ” 启动 仪式
0,共查扣违法三轮车304辆、残疾证23本,共 查扣 违法 三轮车 304 辆 、 残疾证 23 本
0,扬州公司工作人员正在扬州瓜洲镇境内,扬州 公司 工作人员 正在 扬州 瓜洲镇 境内
0,而我不愿意将就~今天调研团的小伙伴们来到了丁莲芳生产基地,而 我 不 愿意 将 就 ~ 今天 调研 团 的 小伙伴 们 来到 了 丁莲芳 生产 基地